model,method,target,rmse_alpha,rmse_beta,corr_alpha,corr_beta,r2_alpha,r2_beta,mu_true,bias_mean,variance,mse,bias_ratio,rmse_mu,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,correction_ratio,min_hessian_eig,hessian_condition,final_train_loss,final_val_loss,train_val_gap,oracle_loss,excess_loss_ratio,smoothness_ratio,violation_rate,bias_shift,bias_reduction
linear,influence,beta,0.5658917758605762,0.5898384170392649,0.947847736135973,0.7392748176818095,0.898415330898089,0.5465272560584726,-0.16818094145857462,-0.017705435736168812,0.0012738966298867294,0.001587379084494333,0.19748430458088398,0.03733271895263305,0.03569168852669665,0.030710971662763577,0.8604516325920641,0.12038700891803322,0.8,10,0.0,25.610000000000003,2.7134001519296342,0.74935178399086,0.9526606454168747,0.242654919475317,4.148044948389834,1.4795437176825088,1.4107810735702515,-0.06876264411225737,1.0,0.41078107357025145,0.9132680353143761,1.0,0.0025044895094307185,0.12392373940007695
linear,naive,beta,0.5299359995367816,0.5830418104530064,0.9570269609086083,0.7539224007444744,0.9159006039059668,0.5683989863443119,-0.16818094145857462,-0.020209925245599523,0.007735055306171738,0.00814349638460446,0.050155493309347064,0.08555222976951483,0.08794916319199256,0.007785371661186218,0.0885212704547375,0.030518656911849972,0.2,10,0.0,25.3,2.7502380987832407,0.7389769196510315,,,,1.4733161606788634,1.352756106853485,-0.12056005382537838,1.0,0.35275610685348513,0.9196034571577043,1.0,0.0025044895094307185,0.12392373940007695
