rep_id,seed,method,true_ate,ate_estimate,ate_se,ate_bias,ate_covered,ite_rmse,ite_correlation,fit_time,q10,q25,q50,q75,q90
0,42,deephte,3.098728999995597,3.047134905058234,0.06122006146183797,-0.051594094937363,True,0.32807645201683044,0.8404799241719633,0.622791051864624,2.282275390625,2.5437194108963013,2.9571926593780518,3.3870726823806763,3.761015510559082
0,42,causal_forest,3.098728999995597,3.0340694900426852,0.22931278076766848,-0.0646595099529117,True,0.2100323293705633,0.9182829284066983,1.174551010131836,2.562569940819359,2.76445969275344,3.0254504704781633,3.2400543164536053,3.5579511784357347
0,42,linear_dml,3.098728999995597,3.036996756953332,0.06339762713535825,-0.0617322430422651,True,0.0737969898430225,0.9966427468916911,0.9116239547729492,2.4138573836767465,2.643244396067866,3.0442447293282906,3.428095637723654,3.6863178890602564
1,43,deephte,3.104348808647841,3.0808467067468626,0.06244722808742399,-0.023502101900978456,True,0.31661200523376465,0.8429808791528205,0.5100009441375732,2.314357328414917,2.5915474891662598,2.9743471145629883,3.4571956396102905,3.833104133605957
1,43,causal_forest,3.104348808647841,3.1093903141302315,0.24515827424758935,0.005041505482390463,True,0.2258312821639387,0.8786399339944668,1.1213128566741943,2.7139233954212085,2.8625337260301476,3.0512577985673,3.3524398809166467,3.61021510416451
1,43,linear_dml,3.104348808647841,3.0865194732918173,0.06360240500751481,-0.017829335356023712,True,0.18837591081992697,0.9362118124856503,0.971167802810669,2.3945346772078753,2.6618991477138874,3.0788754521049677,3.516039861081412,3.800258916488895
2,44,deephte,3.0848381134678613,3.1032762002914156,0.06277330143174625,0.0184380868235543,True,0.3979854881763458,0.798701585388636,0.5982661247253418,2.425540566444397,2.7363475561141968,3.1314228773117065,3.650727868080139,4.0789069652557375
2,44,causal_forest,3.0848381134678613,3.101380372775877,0.24721606290645615,0.016542259308015783,True,0.19958857613000977,0.902466394903989,1.2218317985534668,2.634890171341272,2.791068929210202,3.0236506916282258,3.3854346009308314,3.7189817018361184
2,44,linear_dml,3.0848381134678613,3.09104271736003,0.06415717351066373,0.006204603892168592,True,0.195864738047786,0.9562724088138702,0.9320068359375,2.338358558410852,2.646776208722276,3.0590129627913276,3.5485637895706543,3.8930215773168224
3,45,deephte,3.0912895267221057,3.0502851274184093,0.0640907767831742,-0.04100439930369637,True,0.41247668862342834,0.7462499265963185,0.5251610279083252,2.432181453704834,2.805487632751465,3.2631921768188477,3.606174409389496,3.87872269153595
3,45,causal_forest,3.0912895267221057,3.060013575899541,0.25341423070301056,-0.031275950822564624,True,0.2360551789110033,0.8682193439527955,1.1441259384155273,2.5301437419355826,2.719538759010857,3.126305287123355,3.4040085393958517,3.521028089185011
3,45,linear_dml,3.0912895267221057,3.045709175871424,0.06574214562581064,-0.04558035085068157,True,0.14863357914784658,0.9565182775153018,0.9791591167449951,2.393414883248849,2.6283561404040454,3.0657446780417965,3.4442654237812644,3.674790388998589
4,46,deephte,3.0848746375720264,2.964972280538089,0.060214928827635406,-0.11990235703393726,False,0.3307061493396759,0.8130198406558221,0.5908360481262207,2.2324914216995237,2.622355103492737,3.053448438644409,3.454392433166504,3.7396432399749755
4,46,causal_forest,3.0848746375720264,3.020561692311464,0.23784332341298603,-0.06431294526056242,True,0.22577957195094345,0.8930851924149088,1.099228858947754,2.450803379376822,2.770107099944944,3.0946760554648574,3.3327531290342884,3.462823045725598
4,46,linear_dml,3.0848746375720264,3.01071420236382,0.06434811618669493,-0.07416043520820637,True,0.10975078111507566,0.9861478454705862,0.9092810153961182,2.3742221873921356,2.6120060732765342,2.993430033483876,3.4015174311862726,3.664966230926657
5,47,deephte,3.1352477011411075,3.1368645340554275,0.06487307637407237,0.001616832914320021,True,0.4446472227573395,0.8096293987485627,0.5184288024902344,2.632302236557007,2.971366047859192,3.4093011617660522,3.839331805706024,4.1929161071777346
5,47,causal_forest,3.1352477011411075,3.1307769867048343,0.22909253523078987,-0.0044707144362732265,True,0.2108097344158641,0.8885536672405291,1.153656244277954,2.5827050492002486,2.7303200337508207,3.178912913127741,3.51573006137978,3.6462268576525463
5,47,linear_dml,3.1352477011411075,3.144659584417882,0.06575978805218796,0.009411883276774446,True,0.12736414075024738,0.9649545295023749,0.9177699089050293,2.503291944824766,2.7473717540285225,3.145111401210812,3.5375578060928228,3.7947301777286992
6,48,deephte,3.085694239035983,3.033659852322291,0.06169299539366931,-0.05203438671369209,True,0.46059706807136536,0.8800965133579455,0.5956590175628662,2.1836897850036623,2.634021043777466,3.1749526262283325,3.7708781361579895,4.285619306564331
6,48,causal_forest,3.085694239035983,3.056650630592849,0.23812283056929898,-0.02904360844313425,True,0.17888156519311646,0.9418222454196659,1.1268830299377441,2.3650054275810186,2.6264664634280566,3.040442279832517,3.514922017149254,3.753189134156918
6,48,linear_dml,3.085694239035983,3.0528174934099788,0.06309708121151636,-0.0328767456260044,True,0.3271451609132104,0.9349629829477631,0.9249887466430664,2.104643953919216,2.522492227656672,3.050456985472297,3.5935039261719632,4.002950888752309
7,49,deephte,3.0833053066772265,3.0798110513039645,0.05971258317935057,-0.0034942553732619785,True,0.3898473083972931,0.6995896021440918,0.5672430992126465,2.5036479949951174,2.77708637714386,3.13148832321167,3.50924950838089,3.828819823265076
7,49,causal_forest,3.0833053066772265,3.077550194911416,0.220613769379886,-0.005755111765810561,True,0.23585833481645166,0.8616219839346303,1.1427299976348877,2.508317222689572,2.8840184565865057,3.141648952077845,3.3281601941527934,3.476147968113355
