sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition
0,linear,naive,-0.19964931905269623,0.030600997283384324,-0.16818094145857462,-0.031468377594121605,True,0.8525389391948756,0.6909183795867573,0.8769916218094559,0.7206336686903374,0.0,13.0,2.6568961981907395,0.8332663774490356,1.772962572309706,1.6184189319610596,-0.15454364034864643,,,,,
0,linear,influence,0.07834424086660147,0.5708634283984213,-0.16818094145857462,0.2465251823251761,True,0.9541463396665241,0.7024745547885844,0.8438112038775839,0.6942833524551779,0.0,8.25,2.7079465849774706,0.9169451504945755,1.8050398877489635,1.8682924330234527,0.0632525452744892,0.5494146291215325,-0.31364071879256517,18.08017299170556,0.0702487176284194,15.289441047483702
1,linear,naive,-0.30404964089393616,0.023382603845166827,-0.1689357272689882,-0.13511391362494796,False,0.7731302752081544,0.5894657319263802,0.8928087560175095,0.7428514481608395,0.0,17.0,3.118942226474542,0.817083477973938,1.6638496902253892,1.8514337539672852,0.18758406374189596,,,,,
1,linear,influence,-0.5394090720750392,0.5691321211519963,-0.1689357272689882,-0.370473344806051,True,0.8794837540911485,0.6364640222804399,0.8580992838057621,0.7199915012904551,0.0,10.75,2.6027090016626095,0.878133112192154,1.6615336172064843,1.8428354740142823,0.18130185680779798,0.46688924051671393,0.26572166379832196,17.964503987693796,0.07028922252357006,15.130979106334411
2,linear,naive,-0.21503153443336487,0.03507568979187281,-0.16662931897079106,-0.04840221546257381,True,0.8790204215514216,0.8106317766499227,0.8695942823704133,0.690176205277394,0.0,19.0,2.3661581586268303,1.2628576755523682,1.776064813931783,2.2280173301696777,0.4519525162378948,,,,,
2,linear,influence,-0.15862541222572327,0.5377176493994591,-0.16662931897079106,0.00800390674506779,True,0.93974246222321,0.7010986531421286,0.8508716004687075,0.690125165175544,0.0,11.5,2.68243399014377,0.9739568173885346,1.6985621468714107,1.8740077197551728,0.17544557288376206,0.01454768586952585,0.007822547449963167,17.017169921677862,0.06894038002938033,15.03018501653371
3,linear,naive,0.020001443102955818,0.027040024819083647,-0.1641535789221187,0.18415502202507453,False,0.8390556597391376,0.6763029860534556,0.8929698456088176,0.7027202513845389,0.0,7.0,2.489473228383988,0.7912818193435669,1.96486624651485,2.336942195892334,0.3720759493774839,,,,,
3,linear,influence,-0.6921443641725927,0.6329113653181541,-0.1641535789221187,-0.527990785250474,True,0.8897714855959131,0.7272004254549108,0.8524613139003154,0.6481391006123309,0.0,10.85,2.817049447942602,0.8993713289499283,1.7379407124735458,2.066848564147949,0.3289078516744033,0.8287232667748192,0.5245083742453717,20.07083067959073,0.06430560182780028,15.990931171431665
4,linear,naive,-0.173270583152771,0.025220868709597277,-0.16608956022339524,-0.007181022929375752,True,0.813068024492172,0.6275559376847886,0.8913685013129823,0.7140677742213867,0.0,16.0,3.629585936358184,0.8972112536430359,1.6529477326075237,2.336124897003174,0.6831771643956501,,,,,
4,linear,influence,0.3271256104335189,0.4985393240983957,-0.16608956022339524,0.4932151706569141,True,0.8987904588912886,0.6401368497643813,0.8474995453927702,0.7114104135320367,0.0,10.7,2.6630895844493745,0.8354199528694153,1.6966891970341667,2.0360117495059966,0.33932255247182996,0.9812305437488551,-0.4891820120652555,15.779636091920318,0.07412731386721134,13.919890101688221
