model,method,mu_true,bias_mean,variance,rmse,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims
linear,bootstrap,0.0007011315758299731,0.021745352743193464,0.012987883056088773,0.11427416267221525,0.11396439380828019,0.11001452033836004,0.9653411619372544,0.43125691972637137,0.8666666666666667,30
linear,influence,0.0007011315758299731,-0.08465919616858789,0.13794628507401613,0.375187368703284,0.37141120752343504,0.5972607117093399,1.6080847847642141,2.3412619899006124,0.9666666666666667,30
linear,naive,0.0007011315758299731,0.014486077770590742,0.01053424997151723,0.10218495235771485,0.10263649434541902,0.015462280901134483,0.1506509063832285,0.06061214113244717,0.3333333333333333,30
