sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition
0,linear,naive,-0.10124687850475311,0.024406782595804415,-0.16818094145857462,0.06693406295382151,False,0.8277557047745004,0.6244930543454099,0.8855951318559513,0.7116426092066724,0.0,11.0,3.404813639267543,0.9101192355155945,1.6389110300276015,2.0679714679718018,0.42906043794420023,,,,,
0,linear,influence,-0.6947203089408577,0.5247231360155348,-0.16818094145857462,-0.526539367482283,True,0.9483050522807627,0.656436026300277,0.8456468980275532,0.7121157623249772,0.05,6.05,3.324352412373048,0.8215892881155014,1.806966437150163,1.8776295721530913,0.07066313500292831,0.8342135094031684,0.4377311287605553,16.616310863731165,0.06815793700516223,15.263872455380664
1,linear,naive,-0.2534836530685425,0.024643461244533753,-0.1689357272689882,-0.08454792579955428,False,0.8348245478749439,0.5496848231561124,0.8785603926549077,0.7782596432373942,1.0,5.0,3.8131138270164655,0.594916820526123,1.897718201743232,2.484811544418335,0.587093342675103,,,,,
1,linear,influence,-0.12789023438841104,0.49568123316659546,-0.1689357272689882,0.041045492880577156,True,0.8833710724956287,0.6129225147887606,0.8578972716174148,0.7332189953167345,0.05,7.3,3.1911234551022067,0.8139398366212844,1.759485731543156,1.8808606564998627,0.12137492495670665,0.3320813838975868,-0.1646065098820254,15.663452642488544,0.07321582939475775,14.16988289479038
2,linear,naive,0.03558941185474396,0.02865635632872119,-0.16662931897079106,0.20221873082553501,False,0.8161607180884922,0.7014639234241979,0.8887783111866941,0.6979282036511449,0.0,10.0,4.219499405843819,0.8661976456642151,1.6058279832204183,2.052661418914795,0.4468334356943766,,,,,
2,linear,influence,-0.41889072566479446,0.6138424424398159,-0.16662931897079106,-0.25226140669400343,True,0.9639605612343438,0.6984192530037879,0.8425512034156315,0.7033944944038969,0.05,6.5,3.140783451859712,0.9731478154659271,1.8242589564107317,1.9703221559524535,0.14606319954172187,0.41865324199779236,0.25698712860327216,19.446867564761593,0.06440072413533926,16.140018716362526
3,linear,naive,-0.0495760403573513,0.026988858291000006,-0.1641535789221187,0.1145775385647674,False,0.790429145935416,0.6271780491627906,0.8855466074061332,0.73475705453359,0.0,6.0,3.9615021242960493,0.9577914476394653,2.035171967347463,2.134478807449341,0.09930684010187774,,,,,
3,linear,influence,-1.1072717051953078,0.6056774320518308,-0.1641535789221187,-0.9431181262731891,True,0.9244436988263957,0.6500404437205947,0.8403078302307511,0.6814992686119465,0.05,5.9,3.4779733234979253,0.8193900614976883,1.9993001235437666,2.0221204102039336,0.022820286660167,1.6017537069345327,0.9701460719956085,19.159451960184256,0.06516731400042772,15.900365985809747
4,linear,naive,-0.10399547219276428,0.017971205371545274,-0.16608956022339524,0.06209408803063096,False,0.9102515597946333,0.6156842258888685,0.8748964136034216,0.7047880974801525,0.0,2.0,4.142274880080217,0.8130624294281006,2.423169502682156,1.7305264472961426,-0.6926430553860135,,,,,
4,linear,influence,-0.883054296515882,0.5483560793746389,-0.16608956022339524,-0.7169647362924867,True,0.9233389672892399,0.5994796810374688,0.8390827389080098,0.7256476504244226,0.05,8.0,3.2456816214955757,0.8003205537796021,1.7781827542098643,2.0047433733940125,0.22656061918414827,1.2615700561041536,0.691789609821717,17.35250879574366,0.06956003904342652,14.87751743951225
5,linear,naive,-0.07975361496210098,0.018184834013940904,-0.1667168172189741,0.08696320225687312,False,0.8070460060938546,0.5933313165401373,0.8911612225591271,0.7373025647899069,0.0,9.0,4.133899671770207,0.7071523070335388,1.6580258464813233,2.0198051929473877,0.36177934646606436,,,,,
5,linear,influence,-0.10337824765592814,0.5429706783517024,-0.1667168172189741,0.06333856956304597,True,0.9729779561712035,0.6136787431458006,0.8418045238820131,0.7152313489542084,0.05,7.2,3.214898376615321,0.775911632180214,1.783941777052238,1.8641424655914307,0.0802006885391926,0.3008984312739975,-0.16337902534380555,17.144804802586798,0.06685927100479602,15.482888896632176
6,linear,naive,-0.26269903779029846,0.019222414150221852,-0.16602701341062898,-0.09667202437966949,False,0.8631729690293007,0.5917925946324042,0.9017328932446691,0.727824979079187,0.0,5.0,2.9681233243901746,0.8672978281974792,1.8627692068947685,2.14909291267395,0.28632370577918165,,,,,
6,linear,influence,-0.48210377486795186,0.5750861355238919,-0.16602701341062898,-0.3160767614573229,True,0.8933806571842251,0.642832124151738,0.8647949461854617,0.6686509470584479,0.1,5.9,3.0787154838001856,0.6949813067913055,1.8284147164591573,1.9433652639389039,0.11495054747974653,0.36355673122786253,0.2090764356055297,18.16281573863611,0.05995519980788231,17.341472288018494
7,linear,naive,-0.3959755599498749,0.028432647431695362,-0.16765652844230786,-0.22831903150756702,False,0.7538867037057101,0.6553742721519631,0.9059711557034564,0.736759527688147,0.0,10.0,2.821639613318349,0.8880630135536194,1.592929516368442,2.090026378631592,0.49709686226314975,,,,,
7,linear,influence,-0.4696472881734371,0.4448004121362729,-0.16765652844230786,-0.3019907597311292,True,0.8788374930898528,0.6470683405180638,0.8703019455752713,0.7033149532634372,0.05,6.55,3.154910675326236,0.8452312290668488,1.7230098348367981,1.7545214235782622,0.03151158874146409,0.3731398107443352,0.16597274160353118,14.0455075687389,0.07887645028531551,13.202904682272063
8,linear,naive,-0.2989313304424286,0.023466983568246485,-0.17065474548814077,-0.12827658495428781,False,0.8179451963323922,0.6032465045519522,0.8943410461308862,0.7214075723662752,0.0,5.0,3.2875436826618354,0.5557408332824707,1.9045423181851704,2.085206985473633,0.18066466728846242,,,,,
8,linear,influence,0.06152469542250037,0.46520404954804606,-0.17065474548814077,0.23217944091064113,True,0.9133674589977789,0.6148335682577949,0.8508422726766226,0.6842310354678921,0.0,6.65,3.1599561572850825,0.7779088020324707,1.730646612637224,1.8161637246608735,0.08551711202364953,0.44514411261613135,-0.20708284382149578,14.700859200970344,0.07285129465162754,14.14306110603261
9,linear,naive,-0.3886979818344116,0.027284544503576192,-0.16514901054142095,-0.22354897129299067,False,0.9559677027140931,0.6537928730933341,0.8780880601889754,0.740899108538748,0.0,6.0,3.4670835426735485,0.7486695647239685,2.0158854558732773,1.788712739944458,-0.22717271592881927,,,,,
9,linear,influence,-0.07115865082293749,0.5096220283313956,-0.16514901054142095,0.09399035971848346,True,0.9355157505625005,0.6770837618428482,0.8467919359995207,0.6695681629220166,0.0,6.95,3.378568789499167,0.8260745257139206,1.7910192692070672,1.9326489746570588,0.14162970544999154,0.421904919847707,-0.21501204101578333,16.14984660674993,0.0810024632140994,12.886845366702298
