model,method,rmse_alpha,rmse_beta,corr_alpha,corr_beta,r2_alpha,r2_beta,mu_true,bias_mean,variance,mse,bias_ratio,rmse_mu,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,correction_ratio,min_hessian_eig,hessian_condition,final_train_loss,final_val_loss,train_val_gap,oracle_loss,excess_loss_ratio,smoothness_ratio,violation_rate,bias_shift,bias_reduction
linear,influence,0.5347434992789387,0.5819341781184217,0.9535605977846681,0.7486822878733379,0.9092778136474535,0.5605251681752557,-0.16818094145857462,-0.013377625182030707,0.0012181799457002956,0.0013971408012111977,0.12809078036784757,0.036874248962624166,0.03490243466723053,0.029846757327065175,0.8551482901302565,0.11699928872209549,0.9,30,0.0,33.37833333333334,2.307453085118072,0.7685057818889618,0.7961439710378386,0.2416383893787861,4.157801866206465,1.4544730824452394,1.3770500175158182,-0.07742306492942118,1.0,0.3770500175158183,0.9282308079691756,0.8666666666666667,0.008872970129826963,0.3987745049274446
linear,naive,0.5179480063934386,0.5726719129893417,0.9574350724058817,0.7618296299927052,0.9166819178728559,0.5803843851348222,-0.16818094145857462,-0.02225059531185767,0.007846061581971818,0.00834115057370388,0.05935499993164837,0.08967166252850155,0.08857799716618014,0.007736331383387248,0.08733919969846696,0.030326419022878012,0.1,30,0.0,28.766666666666666,2.3315139451620874,0.7754051049550374,,,,1.4752830276612883,1.3840157310167949,-0.0912672966444934,1.0,0.3840157310167948,0.9144623704106257,0.8666666666666667,0.008872970129826963,0.3987745049274446
