model,method,mu_true,bias_mean,variance,rmse,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims
linear,bootstrap,0.0007011315758299731,-0.01988923260272929,0.0053732203468856675,0.07510231140002734,0.07330225335476166,0.07976925155281057,1.0882237298593063,0.3126954660870174,0.96,50
linear,influence,0.0007011315758299731,0.0032763208822931015,0.0031157901735231973,0.055111899655589186,0.05581926346274373,0.03980360519166855,0.7130800860214727,0.1560301323513407,0.82,50
linear,naive,0.0007011315758299731,-0.01690138197766134,0.008185196723270264,0.09118690930709468,0.09047207703634455,0.011052922945479772,0.12216943953922467,0.043327457946280706,0.18,50
