model,method,rmse_alpha,rmse_beta,corr_alpha,corr_beta,r2_alpha,r2_beta,mu_true,bias_mean,variance,mse,bias_ratio,rmse_mu,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,correction_ratio,min_hessian_eig,hessian_condition,final_train_loss,final_val_loss,train_val_gap,oracle_loss,excess_loss_ratio,smoothness_ratio,violation_rate,bias_shift,bias_reduction
linear,influence,0.5390236184853484,0.5811792284151412,0.9529424096271122,0.7502425135504941,0.9080992360659269,0.5628638291385634,-0.16818094145857462,-0.014512339482546478,0.0011030175484499991,0.0013136255457066766,0.160325747276313,0.03579007960820152,0.03321170800260052,0.029816322444193667,0.8977654037503585,0.11687998398123918,0.9,30,0.0,33.39833333333333,2.3018777354546907,0.765983500579993,0.5931841835494995,0.2420385111620029,4.151880428131426,1.4621079591819883,1.377609832485517,-0.08449812669647137,1.0,0.3776098324855169,0.9335594825977961,0.7666666666666667,0.013031724898215913,0.47312280127103046
linear,naive,0.5076494870044046,0.5664557216979385,0.9592583868770774,0.7669777575841508,0.9201766527940127,0.5882548806288124,-0.16818094145857462,-0.027544064380762387,0.005387576497001958,0.006146251979613541,0.12343709387900603,0.07742664029739994,0.0734001123773115,0.00781449419260025,0.10646433553711786,0.03063281723499298,0.13333333333333333,30,0.0,35.8,2.3473811637439974,0.756407109896342,,,,1.4489888473228172,1.3399885296821594,-0.10900031764065776,1.0,0.3399885296821594,0.9232286222716735,0.7666666666666667,0.013031724898215913,0.47312280127103046
