rep_id,seed,method,true_ate,ate_estimate,ate_se,ate_bias,ate_covered,ite_rmse,ite_correlation,fit_time,q10,q25,q50,q75,q90
0,42,deephte,2.286330289621933,2.323219558169735,0.06392548817612992,0.036889268547801723,True,0.08810563385486603,0.10611602928459567,0.4844827651977539,2.2188332080841064,2.2561895847320557,2.318587303161621,2.372712254524231,2.41428279876709
0,42,causal_forest,2.286330289621933,2.320384252315139,0.25914617921913935,0.03405396269320571,True,0.20615150030481427,-0.3734581677580675,0.774054765701294,2.1253298958929716,2.1993109749907735,2.2991785691706292,2.41340603573574,2.5767170182460872
0,42,linear_dml,2.286330289621933,2.3165231634133407,0.06476130130682335,0.03019287379140767,True,0.12483719172353233,-0.7012871779074381,0.5975968837738037,2.223085422663246,2.264960152761714,2.3186502207034723,2.3665856309369655,2.4120442636651123
1,43,deephte,2.2887577546097235,2.328939059334197,0.06260040821742822,0.040181304724473677,True,0.18576140701770782,0.24797511856691143,0.4460451602935791,2.0879120349884035,2.1089494228363037,2.24259090423584,2.4365971088409424,2.5676400661468506
1,43,causal_forest,2.2887577546097235,2.341752333542043,0.22942708343633947,0.0529945789323194,True,0.27742068538897763,0.060038102891943834,0.7876098155975342,2.003845968109849,2.1639609761730183,2.3348303312227587,2.517080940400438,2.694871946815109
1,43,linear_dml,2.2887577546097235,2.3524831222423006,0.06316850750065818,0.06372536763257708,True,0.1965619676736029,-0.00535214155100089,0.5931849479675293,2.17702065968425,2.2148310473744948,2.3020689222341377,2.4400994034196435,2.608434629871999
2,44,deephte,2.2871175296386306,2.21725952913371,0.06370392542001882,-0.06985800050492053,True,0.11994574964046478,0.3919720649771295,0.4913809299468994,2.064600706100464,2.1460766792297363,2.233989953994751,2.329124689102173,2.376958227157593
2,44,causal_forest,2.2871175296386306,2.25045492901689,0.2341213251162326,-0.03666260062174054,True,0.24497940331720225,0.19526005582608066,0.7824380397796631,1.9676000139437828,2.0814224291195402,2.2063139078764387,2.388609830495687,2.6194793839615254
2,44,linear_dml,2.2871175296386306,2.249726938363181,0.06492109064072092,-0.03739059127544975,True,0.09629599938658547,-0.36913840874704335,0.5954527854919434,2.1796277237003534,2.2356561444652927,2.268566121237989,2.2848439763683324,2.2920399345917373
3,45,deephte,2.291857042443181,2.275598924556747,0.06312306136018532,-0.01625811788643361,True,0.04407051205635071,0.986858330268037,0.5257530212402344,2.175416612625122,2.243263900279999,2.2914977073669434,2.3385008573532104,2.3946030855178835
3,45,causal_forest,2.291857042443181,2.236580490220805,0.25103555350108814,-0.05527655222237593,True,0.18126366664034482,0.4927682844937789,0.7988998889923096,1.9942724554918199,2.0824998712655907,2.2499547391083596,2.3675694203483455,2.4706560715370833
3,45,linear_dml,2.291857042443181,2.242155532966312,0.062151104648184415,-0.04970150947686891,True,0.1010061988778749,0.742865956318524,0.5997788906097412,2.0958107295802413,2.166484888508478,2.2431664865291276,2.3224999711914984,2.394287092447812
4,46,deephte,2.286140468467527,2.2973050879031756,0.06109548065142622,0.011164619435648504,True,0.1781850904226303,0.42752465501542514,0.4556450843811035,2.07283935546875,2.1928327083587646,2.3217519521713257,2.4882941246032715,2.5902331590652468
4,46,causal_forest,2.286140468467527,2.29423096485423,0.255448718056693,0.008090496386703006,True,0.22238044568108067,0.30922557231347597,0.847661018371582,2.0419882493179173,2.1560619922226314,2.2980955528771183,2.4605052654095654,2.594233584938686
