rep_id,seed,method,true_ate,ate_estimate,ate_se,ate_bias,ate_covered,ite_rmse,ite_correlation,fit_time,q10,q25,q50,q75,q90
0,42,deephte,2.41899,2.456151818403633,0.06477474837277286,0.037161818403633085,True,0.03824572637677193,0.9958964993338821,0.5379190444946289,1.9847620725631714,2.1551390290260315,2.4156267642974854,2.714809834957123,2.880803394317627
0,42,causal_forest,2.41899,2.4629188705013623,0.2501969646270249,0.043928870501362294,True,0.2202991192752279,0.8154750047694579,0.8003690242767334,2.015757723901349,2.209750909630341,2.403649408613864,2.727685145793234,2.8689727414386152
0,42,linear_dml,2.41899,2.4591223863754834,0.06526100952799226,0.04013238637548344,True,0.12276799361128078,0.949457316965092,0.602895975112915,1.9839338640717459,2.1588989198309254,2.438133901516271,2.774935893414824,2.9770274882689325
1,43,deephte,2.4010200000000004,2.441782717149712,0.06269617158155687,0.04076271714971158,True,0.17977817356586456,0.9859693578677351,0.4601778984069824,2.200359416007996,2.2850375175476074,2.4126780033111572,2.594465732574463,2.719697117805481
1,43,causal_forest,2.4010200000000004,2.4584367051010148,0.235321513356487,0.057416705101014376,True,0.3241433016887074,0.5293669518804326,0.7785801887512207,2.0800384636882914,2.22611477901535,2.4395212951506124,2.6866451084711818,2.8832586985087643
1,43,linear_dml,2.4010200000000004,2.463435902417144,0.06343577954493777,0.06241590241714379,True,0.19592378933183308,0.9027943316545493,0.615278959274292,2.216203624924857,2.288083681854621,2.4080446536687736,2.644191426012787,2.7935461916331596
2,44,deephte,2.4301500000000003,2.359782454449504,0.06529692047072772,-0.0703675455504964,True,0.12555564939975739,0.999462263733766,0.45501112937927246,1.692736029624939,1.9897466897964478,2.3931021690368652,2.8055058121681213,3.0104448795318604
2,44,causal_forest,2.4301500000000003,2.398170647910671,0.23080312485909016,-0.03197935208932945,True,0.22507081099794404,0.8405339778125017,0.7936468124389648,1.877734317267196,2.0552480087135994,2.3686294669596784,2.6719511889658483,2.9385358286333805
2,44,linear_dml,2.4301500000000003,2.3964423111700173,0.06552646088261427,-0.033707688829982985,True,0.09969439178331908,0.9780889888394613,0.5977771282196045,1.824711961734695,2.0916385156648314,2.4320488679417394,2.7467444177563523,2.9094300518784766
3,45,deephte,2.41632,2.3991836999785154,0.06407839087661733,-0.017136300021484363,True,0.049814317375421524,0.9961174749116463,0.4522981643676758,1.8727924227714539,2.0681187510490417,2.4029335975646973,2.7325974702835083,2.942016935348511
3,45,causal_forest,2.41632,2.37945141262395,0.2575365851283596,-0.0368685873760497,True,0.1900293818896896,0.880408160425315,0.7718870639801025,1.8426730917816299,2.088596423221755,2.375821293227717,2.6506013050609996,2.9467412192853684
3,45,linear_dml,2.41632,2.391670499773155,0.06256092676672986,-0.024649500226844978,True,0.08695715851776788,0.9757690419545855,0.5965733528137207,1.824233268495675,2.116997980353617,2.451062683584371,2.6995016354756096,2.849350405522112
4,46,deephte,2.40327,2.414903529648145,0.0628793164251526,0.011633529648145124,True,0.14901724457740784,0.998807733560631,0.5255701541900635,1.748288869857788,1.9807710349559784,2.443542242050171,2.9140297770500183,3.1555159091949463
