sim_id,model,method,target,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition,oracle_loss,excess_loss_ratio,smoothness_ratio
0,logit,naive,ame,-0.03871224448084831,0.0007101155072450638,-0.08409047072928731,0.045378226248439,False,0.49656262717846855,0.37841917596789043,0.8502969891465749,0.6463091865333509,0.0,15.0,0.2417211504475133,0.2888079285621643,0.6017473485204908,0.5857080221176147,-0.016039326402876086,,,,,,1.0,-0.41429197788238525,1.024383645660641
0,logit,influence,ame,-0.016361053876206278,0.010548491375056012,-0.08409047072928731,0.06772941685308104,False,0.48425846594463257,0.3599746695555327,0.8374704774494953,0.632021061820625,0.0,7.6,0.24870866159661595,0.44691532850265503,0.6061726933379232,0.5989842712879181,-0.007188422050005139,1.121351203046656,0.011828563493746332,1.054139519706834,0.0487636249512434,4.316152816722389,1.0,-0.4010157287120819,0.9469936524730423
1,logit,naive,ame,-0.005376684479415417,0.0007287726551294327,-0.0844678636344941,0.07909117915507868,False,0.4943216585723482,0.31896500520730103,0.8716573648927627,0.7129903131286885,0.0,1.0,0.2236619217333196,0.21271543204784393,0.6262889982859293,0.6046642065048218,-0.021624791781107544,,,,,,1.0,-0.3953357934951782,0.9732492076374613
1,logit,influence,ame,0.00011575862835161388,0.010082575434453239,-0.0844678636344941,0.08458362226284571,False,0.5030854297111713,0.35238522279043455,0.8212206058765633,0.66002376997769,0.0,5.8,0.2382986734429013,0.44041268825531005,0.6145054900145824,0.6161897718906403,0.001684281876057847,1.056961254712027,-0.010656891581928358,1.007064030157696,0.05346807539463043,4.030836392608043,1.0,-0.3838102281093597,1.0235609300838717
2,logit,naive,ame,-0.021662423387169838,0.0006143884360790253,-0.08331465948539553,0.06165223609822569,False,0.4571710581617882,0.31231963855674594,0.862553145847591,0.6927109781713772,0.0,10.0,0.21795047020260858,0.258445680141449,0.615374708334605,0.5963475704193115,-0.019027137915293424,,,,,,1.0,-0.4036524295806885,0.826319500896407
2,logit,influence,ame,-0.028225380060228053,0.010106086010400467,-0.08331465948539553,0.055089279425167476,False,0.499297318909409,0.33224502305842285,0.826824377222182,0.6295608593305163,0.0,4.8,0.22941072360162607,0.24146745800971986,0.6194328208617221,0.6123188436031342,-0.007113977258587978,0.3574942298700975,0.0036128674352890813,1.0099075188343383,0.05336865708231926,4.001953667903733,1.0,-0.38768115639686584,0.7338709965919333
3,logit,naive,ame,-0.012177723459899426,0.0007129930704832077,-0.08207678946105935,0.06989906600115993,False,0.5563332442334984,0.33166388312194833,0.7812045331559185,0.6953420969792352,0.0,4.0,0.22814742164510163,0.37130436301231384,0.6194674318101671,0.6096495985984802,-0.009817833211686833,,,,,,1.0,-0.3903504014015198,0.9892497901102533
3,logit,influence,ame,-0.0018637483114842326,0.010061883993056034,-0.08207678946105935,0.08021304114957511,False,0.4908934605035285,0.3586185495779836,0.8264249332662168,0.6481271803501265,0.0,6.4,0.23828839424976658,0.39106600284576415,0.6136340574747251,0.6132170200347901,-0.00041703743993504183,0.3244952348048929,0.003265033408906311,1.0057555380902043,0.05303862653672695,4.041451903442929,1.0,-0.38678297996520994,0.9761788383131705
4,logit,naive,ame,-0.040222685784101486,0.0008810368925333023,-0.08304478011169762,0.042822094327596136,False,0.5130239236976626,0.4279193456870192,0.8176566213982469,0.6554187761072722,0.0,13.0,0.23546898466931518,0.5990706086158752,0.6059759417639838,0.5931844711303711,-0.012791470633612745,,,,,,1.0,-0.4068155288696289,1.2084303552813171
4,logit,influence,ame,-0.029711295884521677,0.010409581628582869,-0.08304478011169762,0.053333484227175945,False,0.4998760407134983,0.3829798264667634,0.8176557605445591,0.6010473712016673,0.0,6.3,0.2319189339254346,0.49297205209732053,0.6121992550013978,0.6072958767414093,-0.0049033782599885445,0.3995891410522997,-0.004159555781679228,1.038796437336837,0.05105464532971382,4.172759119612514,1.0,-0.3927041232585907,0.9796642887458847
5,logit,naive,ame,-0.006145562045276165,0.00039612852036952973,-0.08335840860948705,0.07721284656421089,False,0.4556451189399668,0.3367709712805881,0.8588686197783469,0.6354920884618652,0.0,5.0,0.21826072534329624,0.2512105405330658,0.6179929444524976,0.624218225479126,0.006225281026628338,,,,,,1.0,-0.375781774520874,0.4923108754466311
5,logit,influence,ame,-0.022572389000607655,0.010398960358330265,-0.08335840860948705,0.0607860196088794,False,0.49282136526816633,0.3295803498774961,0.8307384881688816,0.6525248860718724,0.0,7.1,0.2288255121499711,0.33654229193925855,0.6177311391933465,0.6163556754589081,-0.0013754637344384202,0.7381906581305235,0.007676415390789043,1.0388452748836907,0.05131956785917282,4.085091834655001,1.0,-0.3836443245410919,0.8460996738013288
6,logit,naive,ame,-0.022208234295248985,0.0005113078281283378,-0.08301350670531449,0.0608052724100655,False,0.4544450068844696,0.3055955147936787,0.851420544452031,0.6894258507935366,0.0,7.0,0.22169071778710425,0.21272391080856323,0.6061835486094157,0.6125321388244629,0.00634859021504719,,,,,,1.0,-0.3874678611755371,0.661904116368047
6,logit,influence,ame,-0.04288093841953669,0.010620484013709899,-0.08301350670531449,0.0401325682857778,False,0.48229168389595833,0.3548674060304489,0.8401665404990409,0.6419975475047354,0.0,7.4,0.22891049001399416,0.4016898155212402,0.611793657541275,0.602337509393692,-0.009456148147582999,0.7556944959608286,0.00802584131360054,1.061357997102641,0.047685849294066426,4.405961432132824,1.0,-0.397662490606308,0.9207643187059225
7,logit,naive,ame,-0.045068319886922836,0.0006938118487596512,-0.08382826422115393,0.03875994433423109,False,0.4958812634705329,0.3706757326880376,0.829469681804111,0.6829306189643547,0.0,16.0,0.2448333354868224,0.33692917227745056,0.6010738781823052,0.6144347786903381,0.013360900508032958,,,,,,1.0,-0.38556522130966187,0.9602312059217324
