model,method,rmse_alpha,rmse_beta,corr_alpha,corr_beta,mu_true,bias_mean,variance,mse,rmse_mu,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,correction_ratio,min_hessian_eig,hessian_condition,final_train_loss,final_val_loss,train_val_gap,violation_rate,bias_shift
linear,influence,0.9005512321935931,0.6842144237610641,0.8597482199023503,0.6863762179511923,-0.16818094145857462,-0.0011596245294963688,0.14679709649626038,0.1467984412253098,0.376053322538759,0.3831410921530871,0.54690227680038,1.4274174396878858,2.1438569250574893,1.0,30,0.010000000000000002,10.358333333333333,2.635690146583704,0.8852621017893155,0.519425293225286,0.06705888665591676,15.659976533835918,1.6729752895311536,1.8723182143767676,0.19934292484561367,0.8,0.040198982453897275
linear,naive,0.824167335014678,0.6680724525274563,0.8892931988592232,0.7087595000602221,-0.16818094145857462,-0.04135860698339365,0.014252552016432732,0.01596308638803955,0.12465425728682059,0.1193840526051647,0.027112750300129742,0.2271052934498624,0.10628198117650858,0.3,30,0.0,12.7,2.984489804702929,0.8484805425008138,,,,1.7188260364179258,1.898819637298584,0.17999360088065816,0.8,0.040198982453897275
