model,method,rmse_alpha,rmse_beta,corr_alpha,corr_beta,mu_true,bias_mean,variance,mse,rmse_mu,empirical_se,se_mean,se_ratio,ci_width,coverage,n_sims,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,correction_ratio,min_hessian_eig,hessian_condition,final_train_loss,final_val_loss,train_val_gap,violation_rate,bias_shift
linear,influence,0.9266196748765733,0.6546026862933829,0.8503473682476732,0.6979579425239788,-0.16818094145857462,-0.0702172789574662,0.15870965790973227,0.1636401241739229,0.3975990720631546,0.3983838072885647,0.5510868044076868,1.3833062346545462,2.160260273278132,1.0,30,0.045000000000000005,6.883333333333334,3.1855057501452917,0.8381065596143404,0.5489618072219847,0.06613163149605195,15.795486427004379,1.7804712450409028,1.8655211474498112,0.08504990240890851,0.9,0.05271032708436249
linear,naive,0.8394242236752861,0.6307249687200894,0.8856232606178136,0.7268786798585674,-0.16818094145857462,-0.017506951873103686,0.020053589620915063,0.02036008298480223,0.1401590346679308,0.14161069740988871,0.024566408271974996,0.17347847811855716,0.09630032042614198,0.06666666666666667,30,0.03333333333333333,7.866666666666666,3.6235903640923524,0.8004482547442119,,,,1.8221299753763058,1.867073396841685,0.04494342146537921,0.9,0.05271032708436249
