sim_id,model,method,mu_hat,se,mu_true,bias,covered
0,linear,naive,-0.09779420495033264,0.010459331536674827,0.0007011315758299731,-0.09849533652616262,False
0,linear,influence,0.046192798351868986,0.03959033635333848,0.0007011315758299731,0.04549166677603901,True
0,linear,bootstrap,-0.053158942610025406,0.07555823758901536,0.0007011315758299731,-0.05386007418585538,True
1,linear,naive,0.10324361175298691,0.009447718059301682,0.0013672048010882798,0.10187640695189863,False
1,linear,influence,0.15097620743978768,0.040944573077028604,0.0013672048010882798,0.1496090026386994,False
1,linear,bootstrap,-0.023477481678128242,0.08806780383492939,0.0013672048010882798,-0.024844686479216522,True
2,linear,naive,0.09234141558408737,0.008597613997762137,-0.0007028893313823784,0.09304430491546975,False
2,linear,influence,0.0467154941689223,0.039587554134122314,-0.0007028893313823784,0.04741838350030468,True
2,linear,bootstrap,0.0887187048792839,0.06491937250565342,-0.0007028893313823784,0.08942159421066628,True
3,linear,naive,-8.17527761682868e-05,0.012221838081278849,0.0005137058325384989,-0.0005954586087067857,True
3,linear,influence,0.0919691076381132,0.04187711584009335,0.0005137058325384989,0.0914554018055747,False
3,linear,bootstrap,0.068418949842453,0.0918007561315032,0.0005137058325384989,0.0679052440099145,True
4,linear,naive,0.025315938517451286,0.01364921130520779,-0.0033639931374610317,0.028679931654912318,False
4,linear,influence,0.051143473712261765,0.04015706039176332,-0.0033639931374610317,0.0545074668497228,True
4,linear,bootstrap,0.02609035186469555,0.08041314461256632,-0.0033639931374610317,0.02945434500215658,True
5,linear,naive,0.03793959319591522,0.009246213303417145,0.0023140824670780445,0.03562551072883718,False
5,linear,influence,0.12125894479826092,0.039553505629109,0.0023140824670780445,0.11894486233118289,False
5,linear,bootstrap,-0.024522271007299423,0.08575384812838967,0.0023140824670780445,-0.026836353474377468,True
6,linear,naive,0.10076487064361572,0.012249946841186018,0.002335527499030536,0.09842934314458518,False
6,linear,influence,0.05874629563093185,0.039277885654948365,0.002335527499030536,0.056410768131901316,True
6,linear,bootstrap,-0.04691927880048752,0.07870709532234549,0.002335527499030536,-0.049254806299518054,True
7,linear,naive,0.04945799335837364,0.012409144514769311,0.0007155780849616377,0.048742415273412006,False
7,linear,influence,0.05246902948524803,0.039418722247825735,0.0007155780849616377,0.05175345140028639,True
7,linear,bootstrap,-0.02781171351671219,0.06883461047604608,0.0007155780849616377,-0.028527291601673825,True
8,linear,naive,-0.04389980807900429,0.010161023490358924,-0.0005844900718901524,-0.043315318007114134,False
8,linear,influence,0.011539185066707432,0.039572469463899515,-0.0005844900718901524,0.012123675138597583,True
8,linear,bootstrap,0.03974681347608566,0.07465123820411462,-0.0005844900718901524,0.040331303547975816,True
9,linear,naive,-0.03692864254117012,0.009871843127410695,-0.001213328355929252,-0.03571531418524087,False
9,linear,influence,0.0100018854951486,0.039621064690821065,-0.001213328355929252,0.011215213851077852,True
9,linear,bootstrap,-0.056564752012491226,0.08748837678906059,-0.001213328355929252,-0.055351423656561975,True
10,linear,naive,-0.07284075766801834,0.011313098800044854,0.001145434562117983,-0.07398619223013632,False
10,linear,influence,-0.08669966168422252,0.03837999813654238,0.001145434562117983,-0.0878450962463405,False
10,linear,bootstrap,-0.0029804264195263386,0.07491180339757207,0.001145434562117983,-0.004125860981644322,True
11,linear,naive,-0.173191100358963,0.01242647491804446,0.0008471134446489972,-0.174038213803612,False
11,linear,influence,-0.012042099691461772,0.04196602989393897,0.0008471134446489972,-0.012889213136110769,True
11,linear,bootstrap,0.016151204705238342,0.08142296443050291,0.0008471134446489972,0.015304091260589346,True
12,linear,naive,-0.003830601694062352,0.01163154079522456,-0.0005543872657785684,-0.003276214428283784,True
12,linear,influence,-0.0011551082949154078,0.03916901049449406,-0.0005543872657785684,-0.0006007210291368394,True
12,linear,bootstrap,-0.03573793172836304,0.08502656230577027,-0.0005543872657785684,-0.03518354446258447,True
13,linear,naive,-0.08757417649030685,0.010761457389664704,0.0005625892268305085,-0.08813676571713737,False
13,linear,influence,-0.04726451823767275,0.04056199946246418,0.0005625892268305085,-0.047827107464503256,True
13,linear,bootstrap,-0.11685390770435333,0.0786305054596551,0.0005625892268305085,-0.11741649693118385,True
14,linear,naive,0.013023017905652523,0.01437391484507139,-0.0008402138576751378,0.013863231763327662,True
14,linear,influence,-0.008160081012640149,0.039973842295155444,-0.0008402138576751378,-0.007319867154965011,True
14,linear,bootstrap,0.011937922798097134,0.08828526694469903,-0.0008402138576751378,0.012778136655772272,True
15,linear,naive,-0.1326517015695572,0.01257073589782597,0.00319645176801808,-0.13584815333757527,False
15,linear,influence,0.011935678681591526,0.03798089893479256,0.00319645176801808,0.008739226913573445,True
15,linear,bootstrap,-0.10423801839351654,0.08659238367091543,0.00319645176801808,-0.10743447016153462,True
16,linear,naive,-0.044369570910930634,0.01087256296091939,-0.0020851011231563326,-0.0422844697877743,False
16,linear,influence,0.02777283405372873,0.03890343528540033,-0.0020851011231563326,0.02985793517688506,True
16,linear,bootstrap,-0.008869166485965252,0.07072024275208197,-0.0020851011231563326,-0.006784065362808919,True
17,linear,naive,0.054907120764255524,0.010455611690828412,-3.65285043959744e-05,0.0549436492686515,False
17,linear,influence,-0.03956662539020181,0.038549901026340316,-3.65285043959744e-05,-0.03953009688580583,True
17,linear,bootstrap,-0.05001809820532799,0.07313436405289721,-3.65285043959744e-05,-0.04998156970093201,True
18,linear,naive,-0.0010492954170331359,0.01048929288910314,-0.0007130789349353089,-0.000336216482097827,True
18,linear,influence,-0.01928214457235299,0.038681189408796404,-0.0007130789349353089,-0.01856906563741768,True
18,linear,bootstrap,-0.14453451335430145,0.08382830056285402,-0.0007130789349353089,-0.14382143441936615,True
19,linear,naive,-0.1183459609746933,0.009177313521635208,0.00021524003280794574,-0.11856120100750124,False
19,linear,influence,-0.0750195914118085,0.038448923810709794,0.00021524003280794574,-0.07523483144461644,True
19,linear,bootstrap,-0.046952858567237854,0.08894030200272254,0.00021524003280794574,-0.047168098600045796,True
20,linear,naive,-0.17993687093257904,0.011489201713583695,-0.0008147145129574568,-0.1791221564196216,False
20,linear,influence,-0.054033185914624485,0.040627535188463015,-0.0008147145129574568,-0.05321847140166703,True
20,linear,bootstrap,-0.18084783852100372,0.06885282315389143,-0.0008147145129574568,-0.18003312400804627,False
21,linear,naive,-0.16629724204540253,0.011639416312639993,0.0025886525649704934,-0.168885894610373,False
21,linear,influence,-0.012128598876297475,0.037945914446343564,0.0025886525649704934,-0.014717251441267967,True
21,linear,bootstrap,-0.009932407177984715,0.07773214492039489,0.0025886525649704934,-0.012521059742955209,True
22,linear,naive,0.09026911109685898,0.010752388349513526,-0.0013543421284790223,0.091623453225338,False
22,linear,influence,0.08877970257727429,0.04014945901096984,-0.0013543421284790223,0.09013404470575331,False
22,linear,bootstrap,-0.10159951448440552,0.07958209584597989,-0.0013543421284790223,-0.10024517235592649,True
23,linear,naive,-0.07140853255987167,0.006884802914337757,0.001915007401052967,-0.07332353996092464,False
23,linear,influence,-0.028849061367218383,0.04046743591687158,0.001915007401052967,-0.03076406876827135,True
23,linear,bootstrap,-0.0008733066497370601,0.09237419902913883,0.001915007401052967,-0.0027883140507900268,True
24,linear,naive,-0.16531522572040558,0.010226757204850225,0.0019815628722407216,-0.1672967885926463,False
24,linear,influence,-0.04710323792789131,0.03630353224782324,0.0019815628722407216,-0.049084800800132035,True
24,linear,bootstrap,0.06838598847389221,0.08833228574123246,0.0019815628722407216,0.0664044256016515,True
25,linear,naive,0.1492670476436615,0.013170036250412874,-0.0002730818507808972,0.1495401294944424,False
25,linear,influence,-0.017590818278025836,0.04022503671631869,-0.0002730818507808972,-0.017317736427244938,True
25,linear,bootstrap,-0.13877446949481964,0.07648317368604483,-0.0002730818507808972,-0.13850138764403874,True
26,linear,naive,0.08574074506759644,0.01192925641177381,-0.0019968078234257093,0.08773755289102214,False
26,linear,influence,0.01413338758982718,0.03841969900103685,-0.0019968078234257093,0.01613019541325289,True
26,linear,bootstrap,0.030055100098252296,0.08745610705623752,-0.0019968078234257093,0.032051907921678,True
27,linear,naive,-0.05557519942522049,0.010881330788185834,0.002932861838436741,-0.05850806126365723,False
27,linear,influence,0.050194480922073126,0.03992290179882969,0.002932861838436741,0.04726161908363639,True
27,linear,bootstrap,0.03433779627084732,0.07398038392130668,0.002932861838436741,0.03140493443241058,True
28,linear,naive,0.009839121252298355,0.011618146151456565,-0.0005817351932121856,0.01042085644551054,True
28,linear,influence,0.053080120739527045,0.04115756232072466,-0.0005817351932121856,0.05366185593273923,True
28,linear,bootstrap,-0.035062529146671295,0.07157342951750384,-0.0005817351932121856,-0.03448079395345911,True
29,linear,naive,-0.0016807260690256953,0.01081736503339187,4.874606573183495e-05,-0.0017294721347575303,True
29,linear,influence,0.01637414916511625,0.03954194498683057,4.874606573183495e-05,0.016325403099384416,True
29,linear,bootstrap,-0.016647905111312866,0.0741907004385273,4.874606573183495e-05,-0.0166966511770447,True
30,linear,naive,-0.03802775964140892,0.010872685578553884,0.0019926504464501723,-0.040020410087859094,False
30,linear,influence,-0.045975727697834375,0.03871967774706783,0.0019926504464501723,-0.04796837814428455,True
30,linear,bootstrap,0.06254377216100693,0.07293217251967968,0.0019926504464501723,0.06055112171455675,True
31,linear,naive,-0.14441628754138947,0.010132697483990642,0.000601654326634953,-0.1450179418680244,False
31,linear,influence,-0.1124966369252652,0.03984283876870887,0.000601654326634953,-0.11309829125190014,False
31,linear,bootstrap,-0.09397050738334656,0.08032343786443685,0.000601654326634953,-0.0945721617099815,True
32,linear,naive,0.020772436633706093,0.01094945088174844,0.0007194104460769239,0.02005302618762917,True
32,linear,influence,0.010274981413502245,0.03776446266012065,0.0007194104460769239,0.009555570967425321,True
32,linear,bootstrap,-0.091954804956913,0.071822144883755,0.0007194104460769239,-0.09267421540298992,True
33,linear,naive,-0.08873522281646729,0.010550398454292516,-0.0016222308360324686,-0.08711299198043482,False
33,linear,influence,-0.0888726264834404,0.03872792098153309,-0.0016222308360324686,-0.08725039564740793,False
33,linear,bootstrap,-0.0438757948577404,0.06831903731460509,-0.0016222308360324686,-0.042253564021707934,True
34,linear,naive,0.026128273457288742,0.011707827623084519,-0.0016730605511403416,0.027801334008429084,False
34,linear,influence,0.00603960361611098,0.039438105028954146,-0.0016730605511403416,0.0077126641672513215,True
34,linear,bootstrap,-0.05633850023150444,0.08267072709410925,-0.0016730605511403416,-0.0546654396803641,True
35,linear,naive,0.007578702177852392,0.010677209078765132,-0.0018066301949726216,0.009385332372825014,True
35,linear,influence,-0.0870592783158645,0.0389714429971848,-0.0018066301949726216,-0.08525264812089188,False
35,linear,bootstrap,-0.11805452406406403,0.0742594857362916,-0.0018066301949726216,-0.1162478938690914,True
36,linear,naive,0.03203653544187546,0.010280177843077783,-0.0020022689249835452,0.034038804366859,False
36,linear,influence,-0.04105856444512028,0.040192075347150205,-0.0020022689249835452,-0.03905629552013674,True
36,linear,bootstrap,0.13708539307117462,0.088706259324035,-0.0020022689249835452,0.13908766199615816,True
