sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition,oracle_loss,excess_loss_ratio,smoothness_ratio
0,linear,naive,-0.23808541893959045,0.007748467326164246,-0.16818094145857462,-0.06990447748101583,False,0.5043906188346198,0.5642695362279788,0.9620700598762085,0.7646037185075586,0.0,27.0,2.363424892642824,0.8138851523399353,1.484904600567288,1.3741374015808105,-0.11076719898647736,,,,,,1.0,0.37413740158081055,0.9246902891245399
0,linear,influence,-0.2034419485513121,0.03044265574798187,-0.16818094145857462,-0.03526100709273747,True,0.5258974744913608,0.5800419462456615,0.9549853445698209,0.7503155537677189,0.0,34.75,2.3420346880484537,0.7771784633398056,1.4534458053683676,1.350457340478897,-0.10298846488947055,0.16746715114716462,-0.00509814483146838,2.9641024076264126,0.23849112764000893,4.20766404213789,1.0,0.3504573404788971,0.9329936763831751
1,linear,naive,-0.22266340255737305,0.007284160852432251,-0.1689357272689882,-0.053727675288384846,False,0.52147962982828,0.5750258092622735,0.9566007529043019,0.7424949999405283,0.0,22.0,2.308700878554207,0.7838616967201233,1.4641577223671807,1.413191795349121,-0.050965927018059576,,,,,,1.0,0.4131917953491211,0.8674030386158065
1,linear,influence,-0.17584932190906258,0.030048195917572858,-0.1689357272689882,-0.0069135946400743775,True,0.5485313955686808,0.5972701266209538,0.950713550424198,0.7380910129116949,0.0,30.1,2.296351214009083,0.8020645916461945,1.4717194576124002,1.3890655159950256,-0.0826539416173746,0.4945337425623241,0.014859846784363253,2.9135201624945597,0.2519478529691696,3.9835331703771297,1.0,0.3890655159950256,0.9616589096382214
2,linear,naive,-0.1636091023683548,0.007238689661026001,-0.16662931897079106,0.0030202166024362598,True,0.5460014570974249,0.565641351302735,0.9551954186585548,0.7493189908445363,0.0,25.0,2.4153865216923434,0.8426033854484558,1.4998434675004748,1.3864198923110962,-0.11342357518937862,,,,,,1.0,0.3864198923110962,0.8494146479542763
2,linear,influence,-0.1252954489015043,0.02992606812118762,-0.16662931897079106,0.041333870069286766,True,0.5305684416159159,0.597441274268728,0.9542199281926959,0.7454967239917599,0.0,32.25,2.339685903685329,0.8272479981184006,1.4775565489209883,1.3730067670345307,-0.10454978188645758,2.0445115329725683,-0.06118419141029081,2.90953677055324,0.2433487966656685,4.13317038445858,1.0,0.37300676703453073,0.9807641416290864
3,linear,naive,-0.1697719544172287,0.008710673451423645,-0.1641535789221187,-0.00561837549510999,True,0.49639334022976683,0.6045236934297716,0.9612068204036236,0.7531827649646572,0.0,43.0,2.2609089835929272,0.8510966300964355,1.4588812821706136,1.2988194227218628,-0.16006185944875084,,,,,,1.0,0.2988194227218628,1.0277265724754179
3,linear,influence,-0.15641813920885325,0.030006025484162722,-0.1641535789221187,0.007735439713265457,True,0.53280502125507,0.5655614976686383,0.9529489145470544,0.7565797669636715,0.0,33.65,2.3255791331739735,0.715358030796051,1.4755651017169507,1.3810775756835938,-0.09448752603335686,0.9459270943053854,-0.028383512497887387,2.920379452273889,0.2436477556824684,4.116622897336943,1.0,0.3810775756835938,0.882083856874389
4,linear,naive,-0.2429308295249939,0.007797532677650452,-0.16608956022339524,-0.07684126930159865,False,0.5018754685997295,0.5613185732385775,0.96035438191242,0.7689315713488919,0.0,24.0,2.2662422415972117,0.859728217124939,1.4560269567701551,1.434198021888733,-0.021828934881422235,,,,,,1.0,0.4341980218887329,0.9262490030256818
4,linear,influence,-0.18633796325903385,0.030012285995876395,-0.16608956022339524,-0.0202484030356386,True,0.547757913723765,0.5927204096947016,0.9488209445384042,0.744823306661699,0.0,31.8,2.2742157083867225,0.800035509467125,1.4862308103884871,1.3993782997131348,-0.08685251067535238,1.1333931123596357,-0.034015718233893856,2.908451014935791,0.24354009330272675,4.119050594306102,1.0,0.39937829971313477,0.9533319985150396
5,linear,naive,-0.23637160658836365,0.00664455235004425,-0.1667168172189741,-0.06965478936938954,False,0.48804278881345375,0.5526965180443251,0.9619212821439883,0.7612949119624837,0.0,40.0,2.23492765784004,0.9181488156318665,1.4184640013376872,1.358801007270813,-0.05966299406687425,,,,,,1.0,0.358801007270813,0.7826811330325306
5,linear,influence,-0.22937333607617766,0.029496443499859377,-0.1667168172189741,-0.06265651885720355,False,0.5394597644449894,0.5740700813925634,0.953137839413239,0.75321320536425,0.0,35.75,2.2894089505757296,0.7565341919660569,1.4263458922718002,1.3628609001636505,-0.06348499210814973,1.2512016644668487,0.03690599920287641,2.864741799256929,0.24414963275194168,4.110949151334234,1.0,0.36286090016365047,0.9237206762917036
6,linear,naive,-0.1946534514427185,0.0072713720798492434,-0.16602701341062898,-0.02862643803208953,False,0.4609149846574505,0.5524708060415542,0.9656054777370787,0.7625730713899125,0.0,34.0,2.239924675587781,0.6704071760177612,1.4047617678112454,1.38417387008667,-0.020587897724575477,,,,,,1.0,0.3841738700866699,0.8482991413562503
6,linear,influence,-0.11531146955606528,0.029811594517186416,-0.16602701341062898,0.0507155438545637,True,0.5136401713499854,0.5795085862415191,0.9570476662421701,0.7451012764253225,0.0,34.95,2.308580211620225,0.7707848578691483,1.4293420157014278,1.350212776660919,-0.07912923904050873,2.706295844414731,-0.08067899435723858,2.914879836935686,0.23548714742064475,4.266268257178547,1.0,0.3502127766609191,0.9011479830958917
7,linear,naive,-0.04275722801685333,0.009301538467407227,-0.16765652844230786,0.12489930042545452,False,0.49443685618634875,0.6293839492357036,0.9612376599465432,0.7651009830427006,0.0,49.0,2.340251043280782,0.9295333027839661,1.4558885241614448,1.4187027215957642,-0.037185802565680603,,,,,,1.0,0.41870272159576416,1.1025974944996682
7,linear,influence,-0.2007027562037576,0.0299886176005326,-0.16765652844230786,-0.03304622776144975,True,0.5318545403919778,0.5724273362500079,0.9538175066112126,0.7557857017553826,0.0,31.2,2.316780726465139,0.8098417073488235,1.4722338148780731,1.394538366794586,-0.07769544808348705,0.6176560412036992,-0.018522650828316545,2.9163930433348186,0.2364533871412277,4.24433341754253,1.0,0.3945383667945861,0.9346004483520112
8,linear,naive,-0.3129250109195709,0.007829439640045167,-0.17065474548814077,-0.14227026543143015,False,0.5282783227072029,0.5695499543964222,0.9589944171827632,0.7713441943596432,0.0,36.0,2.3273446274475487,0.7913414239883423,1.4339614090389676,1.3962098360061646,-0.037751573032803076,,,,,,1.0,0.39620983600616455,0.9254057729004389
8,linear,influence,-0.2418820737118367,0.028471400733663436,-0.17065474548814077,-0.07122732822369593,False,0.515467464762841,0.5761553787384185,0.957248165615465,0.7528835354132263,0.0,30.1,2.310662734506801,0.7481984972953797,1.4385916808892412,1.3334783971309663,-0.10511328375827489,0.24218071432732977,-0.006895224167578272,2.771312175863192,0.2479547843337059,4.049504088756132,1.0,0.3334783971309663,0.9053241852307825
9,linear,naive,-0.2071976512670517,0.008323673605918885,-0.16514901054142095,-0.04204864072563075,False,0.5054826303998617,0.5763908158838336,0.9628047294077768,0.7679082622434125,0.0,30.0,2.447418722836104,0.829520046710968,1.4567277466456094,1.3086814880371094,-0.14804625860850007,,,,,,1.0,0.3086814880371094,0.9768929807527363
9,linear,influence,-0.15226784818284214,0.03153862464044497,-0.16514901054142095,0.012881162358578807,True,0.5494443719442825,0.6056002929122715,0.9510066120421423,0.7463998103900109,0.0,31.8,2.322713177813806,0.8325347512960434,1.496249188916725,1.4039990305900574,-0.09225015832666772,2.355679487793007,-0.07429489113869932,3.08482106054202,0.22857340723276137,4.387962395428796,1.0,0.4039990305900574,0.9798593592499802
10,linear,naive,-0.16604800522327423,0.006571049690246582,-0.16608385390592426,3.584868265002483e-05,True,0.49980727231980243,0.5368511647375219,0.9605275937067739,0.7725244682996006,0.0,29.0,2.459763642856468,0.6794109344482422,1.423201613638136,1.3200950622558594,-0.10310655138227665,,,,,,1.0,0.3200950622558594,0.7767060279164985
10,linear,influence,-0.19783693009852432,0.030278669017654823,-0.16608385390592426,-0.031753076192600066,True,0.5714766302340237,0.5759144794232912,0.9456583309773028,0.7510700053039534,0.0,30.95,2.303230625107349,0.7546237587928772,1.4837956074336816,1.380020844936371,-0.10377476249731066,0.31635553557008445,-0.009578824553429514,2.952651505952316,0.23856638222932816,4.210429131080827,1.0,0.3800208449363709,0.9145890097918179
11,linear,naive,-0.18377546966075897,0.007372610569000244,-0.16799821041175939,-0.015777259248999587,False,0.5017329695506813,0.546965883019921,0.957479189079555,0.7698865611220651,0.0,25.0,2.370902201580953,0.8256776928901672,1.5048006099065145,1.2898857593536377,-0.21491485055287685,,,,,,1.0,0.2898857593536377,0.866688210448837
11,linear,influence,-0.215244127022475,0.030105265975976223,-0.16799821041175939,-0.047245916610715616,True,0.5239181648439704,0.5906479645132617,0.9548084820057087,0.744490458238703,0.0,32.95,2.2936197898087505,0.7541261225938797,1.4254147163099709,1.3630519032478332,-0.062362813062137645,0.02642443481258021,-0.0007955146382975727,2.9404976169838193,0.23749443739652634,4.225254943913955,1.0,0.3630519032478332,0.933795786494316
12,linear,naive,-0.33921992778778076,0.008225511908531189,-0.1684193023581113,-0.17080062542966945,False,0.47150827438454945,0.5973474902609164,0.9638347531949473,0.7598361836373714,0.0,42.0,2.3369873652192235,0.7733852863311768,1.4158559957080417,1.1956173181533813,-0.2202386775546603,,,,,,1.0,0.19561731815338135,0.9771198655555117
12,linear,influence,-0.17986227610385977,0.02982571157323891,-0.1684193023581113,-0.011442973745748458,True,0.5407075124125929,0.5783454294289563,0.953759785103751,0.7489230534754225,0.0,37.2,2.324413284895669,0.7553875505924225,1.455578544470302,1.4082496881484985,-0.0473288563218035,1.3303967696731933,-0.03968003033024142,2.9116723103303803,0.2436475083231926,4.125124153999734,1.0,0.4082496881484985,0.9355465272035525
13,linear,naive,-0.07215481996536255,0.008091564774513244,-0.16973064012954736,0.09757582016418481,False,0.4831081418388178,0.594999661615975,0.9646827214184663,0.74731448414209,0.0,34.0,2.2813494128741447,0.7272230386734009,1.4048315006891887,1.3528563976287842,-0.05197510306040454,,,,,,1.0,0.3528563976287842,0.9556259734016119
13,linear,influence,-0.1637193507666234,0.02963112970268037,-0.16973064012954736,0.006011289362923972,True,0.5400605125845576,0.5735542371765325,0.9536625115627054,0.7527952268418173,0.0,30.75,2.330454352240834,0.7172260761260987,1.4684403383222935,1.3647861719131469,-0.1036541664091466,0.82021295809387,-0.0243038365450986,2.8894414681935863,0.2430454134941101,4.132025702857041,1.0,0.3647861719131469,0.9166456393925477
14,linear,naive,-0.14583246409893036,0.006888968348503113,-0.16421968122181307,0.018387217122882715,False,0.6113273717063051,0.5668691624643273,0.9369833165012068,0.7433694257905739,0.0,16.0,2.302727427743803,0.8461452722549438,1.593430505540636,1.4355820417404175,-0.15784846380021844,,,,,,1.0,0.4355820417404175,0.8166134771750132
14,linear,influence,-0.14396201577195897,0.029277272285968527,-0.16421968122181307,0.020257665449854106,True,0.5861972870654022,0.5778942970707511,0.9431163536514242,0.7432548159336159,0.0,28.6,2.208160460866936,0.7472724258899689,1.488092333263821,1.3924561381340026,-0.09563619512981836,0.6055582305447086,-0.017729093200666738,2.8562195632838634,0.24634825587272643,4.074568076269886,1.0,0.3924561381340026,0.8999108920569872
15,linear,naive,-0.21135033667087555,0.007993669509887695,-0.16731081091548525,-0.0440395257553903,False,0.5287824740882828,0.573815774918791,0.9549635783447799,0.7577912110628022,0.0,32.0,2.3507707616115123,0.749028205871582,1.4419128828048706,1.4401581287384033,-0.0017547540664673011,,,,,,1.0,0.4401581287384033,0.9383409736442586
15,linear,influence,-0.18411782119926065,0.029779801797019778,-0.16731081091548525,-0.016807010283775403,True,0.5206737880213851,0.5808332199039247,0.9568336213033404,0.7458497841145197,0.0,34.7,2.3046257859102033,0.7577316880226135,1.4381307359585287,1.377281790971756,-0.060848944986772624,0.8850837779458838,-0.026357619480985885,2.896505662468948,0.2500452183187008,4.018577311145149,1.0,0.37728179097175607,0.9179422699567191
16,linear,naive,-0.18327343463897705,0.0076133966445922855,-0.16778098176091477,-0.01549245287806228,False,0.4780419289498249,0.5499898648472974,0.9656795905654806,0.7694799879306153,0.0,31.0,2.5062325998806627,0.7122164368629456,1.4784913325839573,1.3776333332061768,-0.1008579993777805,,,,,,1.0,0.37763333320617676,0.90833653022894
16,linear,influence,-0.15832406248636544,0.030054653282655792,-0.16778098176091477,0.009456919274549336,True,0.5119277620842652,0.5730875758620547,0.9565191559174896,0.7472548851164161,0.0,29.75,2.3551946783749864,0.7893561720848083,1.4560564741154163,1.3762697517871856,-0.0797867223282307,0.05070045701624515,0.001523784656895441,2.920509598854337,0.23758960142731667,4.2272009242353175,1.0,0.3762697517871856,0.899629633095888
17,linear,naive,-0.130995512008667,0.007262665629386902,-0.16570667471611328,0.034711162707446286,False,0.5116367094772242,0.5645482620093688,0.9598835522974059,0.7540336498271417,0.0,42.0,2.305807355284341,0.8854355812072754,1.448225258615282,1.3919235467910767,-0.05630171182420529,,,,,,1.0,0.39192354679107666,0.8553732917597532
17,linear,influence,-0.17176859674863518,0.029689382833952456,-0.16570667471611328,-0.006061922032521899,True,0.5321606870198345,0.5837871760841692,0.954012915087992,0.7470539663867946,0.0,35.9,2.337410003968034,0.7613834202289581,1.4600258466005325,1.3750285804271698,-0.08499726617336267,0.644044432594182,-0.019121281721364358,2.8832036893684476,0.24772153720259665,4.051973372512824,1.0,0.3750285804271698,0.9160519648176854
18,linear,naive,-0.09809340536594391,0.006831540465354919,-0.16645263429730817,0.06835922893136426,False,0.4860973864233173,0.5536729173659484,0.9650955644523518,0.7559736979190563,0.0,35.0,2.276100070367675,0.7386363744735718,1.4010650314754909,1.2531852722167969,-0.147879759258694,,,,,,1.0,0.2531852722167969,0.8114937036511466
18,linear,influence,-0.1350445500906557,0.029596972820623128,-0.16645263429730817,0.031408084206652476,True,0.5162960472456571,0.575049353430206,0.9579435744241286,0.7434846961601731,0.0,33.35,2.25578756540878,0.7323417216539383,1.4059874981767253,1.3330107271671294,-0.07297677100959588,1.7312410152296984,-0.05123949327370137,2.893008404123903,0.2320546828210354,4.328441653571995,1.0,0.33301072716712943,0.8919744158407517
19,linear,naive,-0.18947382271289825,0.008996176719665527,-0.16680330304223964,-0.022670519670658612,False,0.5367523041351988,0.614679147509374,0.9518800881169643,0.7526197148837018,0.0,20.0,2.367731266537466,0.7147039175033569,1.5346956280602349,1.4212706089019775,-0.11342501915825731,,,,,,1.0,0.42127060890197754,1.0698451876286286
19,linear,influence,-0.16764215722549708,0.02966466259170963,-0.16680330304223964,-0.000838854183257437,True,0.5208701091458301,0.5760592578692489,0.9558134822401456,0.7484680918709536,0.0,32.55,2.3159342133591876,0.7339557051658631,1.4474255596475991,1.3897502660751342,-0.057675293572464925,0.049424821724294,-0.0014661706601065817,2.8816190799485026,0.2469356268644333,4.070358395745933,1.0,0.3897502660751342,0.9198130200003429
20,linear,naive,-0.023888280615210533,0.007847681045532226,-0.1674006122102666,0.14351233159505608,False,0.5089649466470366,0.582267254434361,0.9619478674349633,0.7663246426768877,0.0,35.0,2.226527570297276,0.79070645570755,1.4613487616644965,1.4753769636154175,0.014028201950921027,,,,,,1.0,0.4753769636154175,0.9209133076842162
20,linear,influence,-0.19127785501955077,0.030578439757053166,-0.1674006122102666,-0.02387724280928416,True,0.5167533033470069,0.5794850020776462,0.9567863151569302,0.7543010384554923,0.0,34.15,2.356193202036521,0.7500457763671875,1.4610361246044874,1.3836167216300965,-0.07741940297439087,0.1361594567709389,-0.00416354374622324,2.98645582450723,0.2317458100616932,4.334281982337176,1.0,0.3836167216300965,0.927689399727784
21,linear,naive,-0.3083447515964508,0.007444652915000916,-0.168861647160364,-0.1394831044360868,False,0.5764889170431384,0.5768446001793707,0.9486079670466054,0.7639480854809171,0.0,30.0,2.3557814612519823,0.6907752752304077,1.5465641009012858,1.5213656425476074,-0.0251984583536784,,,,,,1.0,0.5213656425476074,0.8904589421374831
21,linear,influence,-0.222431378374435,0.029831222945465523,-0.168861647160364,-0.05356973121407099,True,0.5408242850505983,0.5902856168645958,0.9528210139867263,0.7571596935695846,0.0,36.85,2.299449810660341,0.7891647279262543,1.467043915805761,1.3982200503349305,-0.06882386547083064,0.4119080777751978,-0.012287721701150077,2.898191634655578,0.24931610003113747,4.030776379356543,1.0,0.39822005033493046,0.9892971638462124
22,linear,naive,-0.18409812450408936,0.0067653626203536986,-0.16961110800065388,-0.01448701650343548,False,0.49915035559437865,0.552344785812934,0.9596569481747501,0.7577477117098004,0.0,28.0,2.313916878103035,0.8005613684654236,1.454718338860406,1.371347427368164,-0.08337091149224185,,,,,,1.0,0.37134742736816406,0.7972021671067472
