sim_id,model,method,mu_hat,se,mu_true,bias,covered
0,linear,naive,0.15536439418792725,0.015868633516506386,0.0007011315758299731,0.15466326261209729,False
0,linear,influence,-0.010536231083795429,0.07206578657301613,0.0007011315758299731,-0.011237362659625402,True
0,linear,bootstrap,-0.01474748644977808,0.11226310592338994,0.0007011315758299731,-0.015448618025608053,True
0,linear,bootstrap_bca,-0.07669100910425186,0.08054970965136644,0.0007011315758299731,-0.07739214068008184,True
1,linear,naive,0.10869934409856796,0.01563507526073522,0.0013672048010882798,0.10733213929747969,False
1,linear,influence,0.17884215899091213,0.060258755871610524,0.0013672048010882798,0.17747495418982384,False
1,linear,bootstrap,0.21788477897644043,0.09899049370756288,0.0013672048010882798,0.21651757417535214,False
1,linear,bootstrap_bca,0.14303098618984222,0.09360109016656534,0.0013672048010882798,0.14166378138875393,True
2,linear,naive,0.3538275957107544,0.021930494913159265,-0.0007028893313823784,0.3545304850421368,False
2,linear,influence,0.10424715998023748,0.06254974088515602,-0.0007028893313823784,0.10495004931161986,True
2,linear,bootstrap,0.19573840498924255,0.12011488638987498,-0.0007028893313823784,0.19644129432062493,True
2,linear,bootstrap_bca,0.13029716908931732,0.09977132416875822,-0.0007028893313823784,0.1310000584206997,True
3,linear,naive,-0.04347914457321167,0.014066402546595904,0.0005137058325384989,-0.04399285040575017,False
3,linear,influence,-0.050318383009172976,0.06075222861445654,0.0005137058325384989,-0.050832088841711476,True
3,linear,bootstrap,-0.06533437222242355,0.10236844083615487,0.0005137058325384989,-0.06584807805496205,True
3,linear,bootstrap_bca,0.006657278165221214,0.11999942799997763,0.0005137058325384989,0.0061435723326827155,True
4,linear,naive,0.060583457350730896,0.01566924313953269,-0.0033639931374610317,0.06394745048819193,False
4,linear,influence,0.12328917328361422,0.06784746866614566,-0.0033639931374610317,0.12665316642107524,True
4,linear,bootstrap,0.15917354822158813,0.09241340023002642,-0.0033639931374610317,0.16253754135904916,True
4,linear,bootstrap_bca,0.01742951199412346,0.09174491930829137,-0.0033639931374610317,0.02079350513158449,True
5,linear,naive,-0.06427084654569626,0.019075669919859227,0.0023140824670780445,-0.0665849290127743,False
5,linear,influence,-0.011456856871023774,0.06701009531696397,0.0023140824670780445,-0.013770939338101819,True
5,linear,bootstrap,0.03726285696029663,0.10258812423968451,0.0023140824670780445,0.034948774493218586,True
5,linear,bootstrap_bca,-0.13518519699573517,0.07638027110917182,0.0023140824670780445,-0.1374992794628132,True
6,linear,naive,-0.006388416513800621,0.016998010317147812,0.002335527499030536,-0.008723944012831157,True
6,linear,influence,-0.1185218955934979,0.06582027129010086,0.002335527499030536,-0.12085742309252845,True
6,linear,bootstrap,-0.1987917125225067,0.11171529576412194,0.002335527499030536,-0.20112724002153726,True
6,linear,bootstrap_bca,-0.18389220535755157,0.0743463763191064,0.002335527499030536,-0.18622773285658212,False
7,linear,naive,0.04558200761675835,0.0159249419545809,0.0007155780849616377,0.04486642953179671,False
7,linear,influence,0.01535348635353148,0.0601677111163468,0.0007155780849616377,0.014637908268569842,True
7,linear,bootstrap,0.10250429064035416,0.1011679776217447,0.0007155780849616377,0.10178871255539251,True
7,linear,bootstrap_bca,-0.05627952516078949,0.08784613966812886,0.0007155780849616377,-0.056995103245751126,True
8,linear,naive,-0.03532927855849266,0.01689416748462324,-0.0005844900718901524,-0.03474478848660251,False
8,linear,influence,0.010454708560369909,0.07114403902955634,-0.0005844900718901524,0.01103919863226006,True
8,linear,bootstrap,-0.06663999706506729,0.11572398220609104,-0.0005844900718901524,-0.06605550699317714,True
8,linear,bootstrap_bca,0.07100866734981537,0.11101031899258548,-0.0005844900718901524,0.07159315742170552,True
9,linear,naive,-0.21594485640525818,0.02044347452336178,-0.001213328355929252,-0.21473152804932893,False
9,linear,influence,0.01984019654802978,0.06910466640085489,-0.001213328355929252,0.02105352490395903,True
9,linear,bootstrap,0.01614041067659855,0.11540552062237246,-0.001213328355929252,0.0173537390325278,True
9,linear,bootstrap_bca,0.1236623227596283,0.02210707220186069,-0.001213328355929252,0.12487565111555755,False
10,linear,naive,0.0643310472369194,0.013320833137377138,0.001145434562117983,0.06318561267480143,False
10,linear,influence,0.03386268071271479,0.062481671739274436,0.001145434562117983,0.032717246150596804,True
10,linear,bootstrap,0.06808619946241379,0.11663894424176251,0.001145434562117983,0.06694076490029581,True
10,linear,bootstrap_bca,0.06894906610250473,0.08312920407026039,0.001145434562117983,0.06780363154038675,True
11,linear,naive,-0.07038133591413498,0.01704699040256671,0.0008471134446489972,-0.07122844935878397,False
11,linear,influence,-0.0236879117526114,0.06734883418855153,0.0008471134446489972,-0.024535025197260397,True
11,linear,bootstrap,0.024919448420405388,0.1237976534278656,0.0008471134446489972,0.02407233497575639,True
11,linear,bootstrap_bca,0.017263351008296013,0.10274604188195617,0.0008471134446489972,0.016416237563647015,True
12,linear,naive,0.04515187814831734,0.016766726150234407,-0.0005543872657785684,0.045706265414095906,False
12,linear,influence,-0.03279470531921834,0.06353711319001623,-0.0005543872657785684,-0.03224031805343977,True
12,linear,bootstrap,0.22082720696926117,0.12082537672817384,-0.0005543872657785684,0.22138159423503972,True
12,linear,bootstrap_bca,0.08635975420475006,0.07208602410848942,-0.0005543872657785684,0.08691414147052863,True
13,linear,naive,0.11682293564081192,0.010563141801890344,0.0005625892268305085,0.1162603464139814,False
13,linear,influence,0.053082117523998024,0.07307849625068308,0.0005625892268305085,0.052519528297167516,True
13,linear,bootstrap,0.11066392809152603,0.10663105972165073,0.0005625892268305085,0.11010133886469552,True
