rep_id,seed,method,true_ate,ate_estimate,ate_se,ate_bias,ate_covered,ite_rmse,ite_correlation,fit_time,q10,q25,q50,q75,q90
0,42,deephte,2.187042935257111,2.2218641693052055,0.020707889753441074,0.034821234048094674,True,0.8225313537238711,0.43555208296040304,2.0078001022338867,1.0965958833694458,1.5668824315071106,2.175356864929199,2.8395416736602783,3.379685783386231
0,42,causal_forest,2.187042935257111,2.2377601444139126,0.22336565059217497,0.05071720915680178,True,0.37803212323627045,0.6827904933953344,8.24448299407959,2.0175323697165486,2.10436166237244,2.2262962194077613,2.3515870030626593,2.479777983370386
0,42,linear_dml,2.187042935257111,2.241139657485911,0.04778680778833716,0.05409672222880024,True,0.4351290462335721,0.673738342500703,7.827288866043091,1.5049339798172077,1.8480018386324237,2.235490247150802,2.640893235027507,2.9582657048106618
1,43,deephte,2.1935440948034333,2.1527182457266645,0.01861373312956569,-0.04082584907676878,False,0.7577760661215548,0.42492776185662634,1.995668888092041,1.115053617954254,1.5840659439563751,2.1490992307662964,2.702294647693634,3.1992940187454226
1,43,causal_forest,2.1935440948034333,2.121046655796742,0.2414951985030471,-0.07249743900669126,True,0.4065763429630426,0.6213438172328798,8.17037582397461,1.8680917939798503,1.9829832390514994,2.1304628390737106,2.253567477304713,2.3577014475286324
1,43,linear_dml,2.1935440948034333,2.134229894786853,0.050877485135344167,-0.059314200016580276,True,0.41544679377153665,0.6853188052507212,7.798315048217773,1.4549428242700617,1.7702882734065652,2.1283313444200194,2.491596994329182,2.824474457973019
2,44,deephte,2.1896168274441012,2.1760492647779337,0.022306278062333214,-0.013567562666167543,True,0.8887197559698234,0.43405894695591435,2.021768093109131,0.9542962908744812,1.5298105478286743,2.1860767602920532,2.8020704984664917,3.4245506763458256
2,44,causal_forest,2.1896168274441012,2.2230390420107615,0.24643428720255023,0.03342221456666028,True,0.3838589016945246,0.7109193912863078,8.619220972061157,1.9504303980516604,2.0822625259778693,2.222655269068575,2.365044543797529,2.491325147087216
2,44,linear_dml,2.1896168274441012,2.205262769053122,0.05033617803772498,0.015645941609020664,True,0.3793840752943383,0.7692589709350734,8.047616004943848,1.440144990281694,1.797081648799639,2.2081741765576917,2.6074719873270253,2.9549640231288756
3,45,deephte,2.208495877810604,2.2057792469648576,0.02076399957423962,-0.0027166308457462485,True,0.8308586983154382,0.4204770077544375,2.0082921981811523,1.0517378807067872,1.612796276807785,2.179943084716797,2.775834381580353,3.411556529998779
3,45,causal_forest,2.208495877810604,2.179061882555765,0.24164386439088922,-0.02943399525483903,True,0.37408686642010375,0.728426141998744,8.3766450881958,1.969427041179424,2.058656080046428,2.173487720061467,2.2956657593822616,2.4031830197150477
3,45,linear_dml,2.208495877810604,2.1822982728495735,0.05033584980130296,-0.026197604961030407,True,0.401186426632824,0.7133114655449754,7.793934106826782,1.4928077290743182,1.7972730394962757,2.1722426864230364,2.560904881016433,2.892904832230796
4,46,deephte,2.1970376077620477,2.217298941587522,0.018038754917029404,0.02026133382547446,True,0.6805653593480294,0.5172898372517555,1.98763108253479,1.247478473186493,1.6952054500579834,2.2128223180770874,2.7201213240623474,3.239453434944153
4,46,causal_forest,2.1970376077620477,2.2051575974111652,0.2427478163771118,0.008119989649117532,True,0.3732912600481499,0.7675341836686767,8.337440967559814,1.9596619451725044,2.0702100395819576,2.197579183899007,2.3320863084517267,2.456491944450962
