sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition,oracle_loss,excess_loss_ratio,smoothness_ratio
0,linear,naive,-0.17872974276542664,0.008518918156623841,-0.16818094145857462,-0.010548801306852013,True,0.5458012831441862,0.5964574314424219,0.9560222243277852,0.7530436116159462,0.0,19.0,2.69449973587481,0.8096932768821716,1.5012177742852104,1.4767934083938599,-0.024424365891350552,,,,,,1.0,0.47679340839385986,1.0133516188036868
0,linear,influence,-0.20944070368008688,0.03036743019040788,-0.16818094145857462,-0.04125976222151226,True,0.5683116761745578,0.5842292017934624,0.949571953572448,0.7408539234451491,0.0,24.35,2.6949775875319064,0.7465671837329865,1.4856557236763466,1.4204703152179718,-0.06518540845837473,0.4142572588737526,0.012579928389718407,2.9553211160582746,0.23897252157330512,4.209278569969683,1.0,0.42047031521797185,0.907779796271747
1,linear,naive,-0.13824515044689178,0.007134025692939758,-0.1689357272689882,0.030690576822096416,False,0.4884832330812955,0.547456047539272,0.9604672943190016,0.7643274868426808,0.0,21.0,2.780740048712101,0.7689012289047241,1.4841671662860447,1.3916068077087402,-0.09256035857730449,,,,,,1.0,0.39160680770874023,0.8519274723274697
1,linear,influence,-0.18182466924609617,0.029985193622550286,-0.1689357272689882,-0.012888941977107965,True,0.5533337282097515,0.5808058662875454,0.9514522912368899,0.7385705763875899,0.0,26.4,2.7699036861763653,0.7601842224597931,1.4694089943358772,1.3681868493556977,-0.10122214498017956,0.43150987401580154,0.01293890712240609,2.9144394404344403,0.2534059211611748,3.971291125089988,1.0,0.3681868493556977,0.8926833987556887
2,linear,naive,-0.1647939383983612,0.007305964231491089,-0.16662931897079106,0.001835380572429851,True,0.5013725637836868,0.5609848169520414,0.961180943181934,0.7546467769912378,0.0,34.0,2.7669895957803874,0.8843905329704285,1.43152896838718,1.339569330215454,-0.09195963817172581,,,,,,1.0,0.3395693302154541,0.860003142062398
2,linear,influence,-0.1282316719699651,0.030112236202723398,-0.16662931897079106,0.03839764700082596,True,0.5437323768854048,0.6001686097936584,0.9521351105474543,0.7301687795753595,0.0,26.55,2.7524720668869778,0.7703568041324615,1.4617960730888688,1.4074878454208375,-0.05430822766803134,0.75711225947374,-0.022798343189250864,2.9309223098419195,0.24471847862005233,4.111699537560111,1.0,0.4074878454208375,0.9303138895953741
3,linear,naive,0.0010733978124335408,0.007566130161285401,-0.1641535789221187,0.16522697673455225,False,0.48754276611396663,0.5907461264886045,0.9631186223159189,0.754014988964938,0.0,23.0,2.787236196647388,0.6329358816146851,1.4660886350207858,1.4447054862976074,-0.02138314872317837,,,,,,1.0,0.4447054862976074,0.8898710145987696
3,linear,influence,-0.1842185118952766,0.03031592487648652,-0.1641535789221187,-0.020064932973157895,True,0.552137496451254,0.5774822265957972,0.9497518557607452,0.7433271115420693,0.0,23.6,2.7456693907798035,0.7101916819810867,1.4890987575695527,1.40031641125679,-0.0887823463127626,0.12844099825938074,-0.0038938076542923226,2.962955056308944,0.2438447095453739,4.116691016405656,1.0,0.4003164112567901,0.865318052862639
4,linear,naive,-0.14499321579933167,0.007593934535980225,-0.16608956022339524,0.02109634442406358,False,0.5095882693220262,0.5713760622607861,0.9576144357533868,0.7520014667711696,0.0,23.0,2.5700833852709795,0.7790502905845642,1.5004479945500693,1.4367954730987549,-0.06365252145131439,,,,,,1.0,0.4367954730987549,0.8987560910243967
4,linear,influence,-0.19487938277404757,0.029929660849367375,-0.16608956022339524,-0.028789822550652322,True,0.5418967217338643,0.5966775327536468,0.9504240174868575,0.739975193816464,0.0,25.75,2.7211644454511252,0.8003583043813706,1.4862186532494615,1.4205106496810913,-0.06570800356837014,0.10408753828906454,-0.0031153047196372428,2.902792415811364,0.24347791448235512,4.122709740938083,1.0,0.4205106496810913,0.954741238611427
5,linear,naive,-0.19117200374603271,0.005899723768234253,-0.1667168172189741,-0.02445518652705861,False,0.5532827233252371,0.5554808698447048,0.9509942561206017,0.7556485029945117,0.0,24.0,2.6702314781714738,0.5605306625366211,1.5030475262535943,1.4462772607803345,-0.05677026547325981,,,,,,1.0,0.4462772607803345,0.6993018806227158
5,linear,influence,-0.20940362333646045,0.030172053591382725,-0.1667168172189741,-0.04268680611748635,True,0.5621151951710354,0.5681719351673293,0.949137162607799,0.7521939417992252,0.0,28.25,2.6905927330173087,0.7415590018033982,1.4385039836886333,1.3889125883579254,-0.04959139533070789,0.8700525642458362,0.02625127259574533,2.931703497921806,0.2415237806737423,4.166881621910493,1.0,0.3889125883579254,0.8906155469397102
